Num Tests, Num Challenges, Num Unsolved, Num Solved, Num Failed,
144, 67, 55, 144, 0,
144, 67, 55, 145, 0,
145, 68, 54, 146, 0,
146, 68, 53, 146, 0,
146, 68, 53, 147, 0,
147, 69, 52, 147, 0,
147, 69, 52, 148, 0,
148, 70, 51, 149, 0,
149, 70, 50, 149, 0,
149, 70, 50, 150, 0,
150, 71, 49, 151, 0,
151, 71, 48, 152, 0,
152, 71, 47, 152, 0,
152, 71, 47, 153, 0,
153, 72, 46, 153, 0,
153, 72, 46, 154, 0,
154, 73, 45, 155, 0,
155, 73, 44, 155, 0,
155, 73, 44, 156, 0,
156, 74, 43, 156, 0,
156, 74, 43, 157, 0,
157, 75, 42, 158, 0,
158, 75, 41, 158, 0,
158, 75, 41, 159, 0,
159, 76, 40, 160, 0,
160, 76, 39, 161, 0,
161, 76, 38, 162, 0,
162, 76, 37, 163, 0,
163, 76, 36, 164, 0,
164, 76, 35, 165, 0,
165, 76, 34, 166, 0,
166, 76, 33, 166, 0,
166, 76, 33, 167, 0,
167, 77, 32, 168, 0,
168, 77, 31, 169, 0,
169, 77, 30, 169, 0,
169, 77, 30, 170, 0,
170, 78, 29, 170, 0,
170, 78, 29, 171, 0,
171, 79, 28, 172, 0,
172, 79, 27, 172, 0,
172, 79, 27, 173, 0,
173, 80, 26, 174, 0,
174, 80, 25, 175, 0,
175, 80, 24, 175, 0,
175, 80, 24, 176, 0,
176, 81, 23, 177, 0,
177, 81, 22, 178, 0,
178, 81, 21, 179, 0,
179, 81, 20, 180, 0,
180, 81, 19, 181, 0,
181, 81, 18, 181, 0,
181, 81, 18, 182, 0,
182, 82, 17, 183, 0,
183, 82, 16, 184, 0,
184, 82, 15, 185, 0,
185, 82, 14, 185, 0,
185, 82, 14, 186, 0,
186, 83, 13, 187, 0,
187, 83, 12, 187, 0,
187, 83, 12, 188, 0,
188, 84, 11, 189, 0,
189, 84, 10, 190, 0,
190, 84, 9, 191, 0,
191, 84, 8, 191, 0,
191, 84, 8, 192, 0,
192, 85, 7, 192, 0,
192, 85, 7, 193, 0,
193, 86, 6, 193, 0,
193, 86, 6, 194, 0,
194, 87, 5, 195, 0,
195, 87, 4, 196, 0,
196, 87, 3, 196, 0,
196, 87, 3, 197, 0,
197, 88, 2, 198, 0,
198, 88, 1, 199, 0,
199, 88, 0, 199, 0,
199, 88, 0, 200, 0,
